rel_0016	关联场景
rel_0039	适用人群
rel_0008	色泽
rel_0130	产地
rel_0010	品牌
rel_0096	是否进口
rel_0086	样式
rel_0088	适用群体
rel_0070	口味
rel_0019	品牌归属地
rel_0045	适用季节
rel_0094	适用年龄
rel_0082	材质
rel_0090	功能
rel_0092	薄厚
rel_0104	包装方式
rel_0043	颜色分类
rel_0015	适用时间
rel_0061	是否为有机食品
rel_0115	净含量
rel_0078	上市年份季节
rel_0031	适用场景
rel_0049	分类
rel_0116	目标人群
rel_0000	图案
rel_0003	面料
rel_0011	品牌类型
rel_0050	功效
rel_0048	设计细节
rel_0113	适用性别
rel_0106	袖长
rel_0032	领型
rel_0006	流行元素
rel_0124	食品口味
rel_0052	成分
rel_0014	储存条件
rel_0009	裤长
rel_0025	大小
rel_0112	运动户外项目
rel_0133	种类
rel_0108	保质期
rel_0107	衣门襟
rel_0038	服装版型
rel_0071	卫生棉条类型
rel_0127	系列
rel_0060	出版社名称
rel_0022	是否精酿
rel_0066	袖型
rel_0080	服装款式细节
rel_0028	是否商场同款
rel_0044	闭合方式
rel_0021	食品工艺
rel_0081	是否量贩装
rel_0030	规格类型
rel_0117	衣长
rel_0109	版型
rel_0126	适用肤质
rel_0065	腰型
rel_0125	是否淘品牌
rel_0036	安全等级
rel_0121	形状
rel_0128	尿片规格
rel_0013	特产品类
rel_0054	加工工艺
rel_0069	帮面材质
rel_0035	里料材质
rel_0093	适用阶段
rel_0040	是否是套装
rel_0037	附加功能
rel_0002	是否含糖
rel_0103	组合形式
rel_0055	智能类型
rel_0047	是否为特殊用途化妆品
rel_0098	佩戴方式
rel_0091	上市时间
rel_0012	是否带帽子
rel_0135	适用空间
rel_0102	鞋底材质
rel_0063	鞋码
rel_0064	细分风格
rel_0101	裤门襟
rel_0018	品种
rel_0083	质地
rel_0087	包装
rel_0089	适合季节
rel_0084	纸开本
rel_0053	产品类别
rel_0062	裙长
rel_0051	包内部结构
rel_0079	模特实拍
rel_0119	填充料
rel_0001	内文用纸材质
rel_0123	裙型
rel_0005	地市
rel_0095	电源方式
rel_0007	支数
rel_0058	玩具类型
rel_0134	基础风格
rel_0029	鞋面材质
rel_0042	包装规格
rel_0046	服饰工艺
rel_0072	销售渠道类型
rel_0122	省份
rel_0020	设计元素
rel_0129	材质成分
rel_0110	产品等级
rel_0023	适用发质
rel_0097	规格
rel_0067	香味
rel_0111	功率
rel_0114	具体规格
rel_0105	收纳场景
rel_0132	配皮材质
rel_0120	原料成分
rel_0085	容量
rel_0099	材质工艺
rel_0131	适合肤质
rel_0077	参考身高
rel_0068	包装体积
rel_0075	适用部位
rel_0073	面料材质
rel_0026	级别
rel_0004	包装数量
rel_0100	材质
rel_0057	面料分类
rel_0041	运动系列
rel_0118	产品重量
rel_0034	适用尺码
rel_0024	旗袍款式
rel_0027	裤款式
rel_0059	内胆材质
rel_0033	茶种类
rel_0074	里料
rel_0056	等级
rel_0076	肉类产品
rel_0017	饮品种类
